Idorden;Nada;Fondo;accIon;tIcker;porcentaje;mes;a??o 
15;;BOLSAESPANA;IBERDROLA EUR 5.600 9,41 6.821 10,21;IBE.MC;8.94;Mayo;2024
15;;BOLSAESPANA;BANCO SANTANDER EUR;SAN.MC;8.64;Mayo;2024
15;;BOLSAESPANA;INDITEX EUR 3.680 6,18 6.102 9,14;ITX.MC;8.17;Mayo;2024
15;;BOLSAESPANA;BBVA EUR 2.890 4,86 4.524 6,77;BBVA.MC;7.67;Mayo;2024
15;;BOLSAESPANA;BANKINTER EUR 888 1,86 664 1,39;BKT.MC;5.01;Mayo;2024
15;;BOLSAESPANA;CAIXABANK EUR 1.348 2,83 786 1,64;CABK.MC;4.94;Mayo;2024
15;;BOLSAESPANA;REPSOL SA EUR 2.852 4,79 3.884 5,82;REP.MC;4.47;Mayo;2024
15;;BOLSAESPANA;FERROVIAL EUR 1.400 2,94 1.424 2,98;FER.MC;4.46;Mayo;2024
15;Estimado;BOLSAESPANA;CELLNEX TELECOM SAU EUR 1.838 3,09 1.208 1,81;CLNX.MC;2.96;Abril;2024
15;;BOLSAESPANA;VIDRALA EUR 1.282 2,69 1.298 2,71;VID.MC;2.95;Mayo;2024
15;;BOLSAESPANA;VISCOFAN EUR 442 0,93 435 0,91;VIS.MC;2.95;Abril;2024
15;Estimado;BOLSAESPANA;GRIFOLS SA EUR 2.200 3,70 1.040 1,56;GRF.MC;2.92;Abril;2024
31;;BOLSAESPANA;CATALANA OCCIDENTE S EUR 1.190 2,49 1.020 2,13;GCO.MC;2.54;Diciembre;2023
31;;BOLSAESPANA;ENDESA S.A. EUR 1.173 2,46 1.162 2,43;ELE.MC;2.38;Diciembre;2023
31;;BOLSAESPANA;C.A.F. EUR 942 1,97 945 1,98;CAF.MC;2.3;Diciembre;2023
31;;BOLSAESPANA;MAPFRE EUR 629 1,32 564 1,18;MAP.MC;2.28;Diciembre;2023
31;;BOLSAESPANA;TELEFONICA EUR 687 1,44 746 1,56;TEF.MC;1.62;Diciembre;2023
31;;BOLSAESPANA;LOGISTA EUR 254 0,53 -- --;LOG.MC;1.61;Diciembre;2023
31;;BOLSAESPANA;GLOBAL DOMINION EUR 1.119 2,35 978 2,04;DOM.MC;1.58;Diciembre;2023
;;BOLSAESPANA;TUBACEX EUR 630 1,48 154 0,35;TUB.MC;1.48;Diciembre;2023
16;;BOLSAESPANA;INTERNATIONAL CONSOL EUR 2.166 3,64 1.728 2,59;IAG.MC;1.46;Diciembre;2023
31;;BOLSAESPANA;MERLIN PROPERTIES EUR 549 1,15 490 1,03;MRL.MC;1.42;Diciembre;2023
31;;BOLSAESPANA;CIE AUTOMOTIVE EUR 1.455 2,44 815 1,22;CIE.MC;1.39;Diciembre;2023
31;;BOLSAESPANA;INDRA EUR 639 1,53 -- --;IDR.MC;1.32;Diciembre;2023
31;;BOLSAESPANA;SACYR EUR 733 1,54 679 1,42;SCYR.MC;1.32;Diciembre;2023
31;;BOLSAESPANA;LABORATORIOS FARMA EUR 508 1,36 672 1,62;ROVI.MC;1.27;Diciembre;2023
31;;BOLSAESPANA;COLONIAL EUR 1.032 2,16 1.003 2,10;COL.MC;1.23;Diciembre;2023
31;;BOLSAESPANA;TALGO S.A. EUR 503 1,05 486 1,02;TLGO.MC;1.04;Diciembre;2023
31;;BOLSAESPANA;MIQUEL Y COSTAS EUR 993 2,08 949 1,99;MCM.MC;0.97;Diciembre;2023
;;BOLSAESPANA;LABORATORS ALMIRALL EUR 337 0,79 -- --;ALM.MC;0.79;Diciembre;2023
